time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.07,2/3 raise_arm_pose,0.4025140005286121,-0.340271657578734,0.6138097891588138,0.10747273316068998,1.5178830414797064e-20,1.5178830414797064e-20,0,0.0019485901225645447,-1.5178830414797064e-19,2,264.0,-0.0032641598328171594,1.4993366819143579,0.003917395133319231,1.5178830414797064e-20,-1.8727216422531703e-06,-0.0009631554228174678,4.725018564109608e-10
0.075,2/3 raise_arm_pose,0.40278197566057267,-0.3403345482026008,0.6138155811010363,0.10732297316056935,-1.951563910473908e-20,1.5178830414797064e-20,0,0.002231435293306478,6.787105599759258e-18,2,459.8,-0.0037212126852792277,1.4992438499644334,0.004465649666068731,-1.951563910473908e-20,-2.126669799826344e-06,-0.0010979506054913466,6.812230901851151e-10
0.08,2/3 raise_arm_pose,0.4030676264991353,-0.3404015761663656,0.6138218978371122,0.10716335905678906,-1.951563910473908e-20,-1.951563910473908e-20,0,0.002530517162367401,1.9515639104739078e-19,2,475.8,-0.0042084040596871465,1.4991449099237057,0.0050499817864177645,-1.951563910473908e-20,-2.3950111797462703e-06,-0.0012416153060121878,9.430341425931147e-10
0.085,2/3 raise_arm_pose,0.40337034433297647,-0.3404725964301511,0.6138287527527052,0.10699423553976248,-1.951563910473908e-20,-1.951563910473908e-20,0,0.00284153786632834,1.9515639104739078e-19,2,279.9,-0.004724694271506079,1.4990400756824633,0.0056691293320413,-1.951563910473908e-20,-2.676688802545886e-06,-0.0013938390829520107,1.2649697524470258e-09
0.09,2/3 raise_arm_pose,0.4036895422540737,-0.34054746900707694,0.6138361600281915,0.1068159351787761,-1.951563910473908e-20,-1.951563910473908e-20,0,0.0031636874632253696,1.9515639104739078e-19,2,257.3,-0.0052690808585754536,1.4989295536664071,0.006321874349346465,-1.951563910473908e-20,-2.9706496277162596e-06,-0.0015543223598835304,1.654159911353308e-09
0.095,2/3 raise_arm_pose,0.4040246543631542,-0.34062605878518815,0.6138441345012402,0.10662877884651864,-1.951563910473908e-20,-1.951563910473908e-20,0,0.0034979180342947017,1.9515639104739078e-19,2,270.9,-0.005840597237786873,1.4988135431001488,0.007007041545116522,-1.951563910473908e-20,-3.2758454718072363e-06,-0.0017227760451284668,2.1177759781614885e-09
0.1,2/3 raise_arm_pose,0.40437513500450967,-0.34070823535560074,0.6138526915428534,0.10643307612929806,-1.951563910473908e-20,-1.951563910473908e-20,0,0.003846003533600715,1.9515639104739078e-19,2,262.0,-0.006438311410594914,1.4986922362614792,0.007723496792405289,-1.951563910473908e-20,-3.591233826314935e-06,-0.0018989211648136573,2.6629791505787547e-09
0.105,2/3 raise_arm_pose,0.40474376593309097,-0.3407946484688006,0.6138619309670813,0.10622727919857097,-1.951563910473908e-20,-1.951563910473908e-20,0,0.0042360632747439255,1.9515639104739078e-19,2,265.4,-0.007066965875649908,1.4985646737483544,0.008476908073857274,-1.951563910473908e-20,-3.918772463215969e-06,-0.0020841510889793038,3.3017060857580833e-09
0.11,2/3 raise_arm_pose,0.4051299259725451,-0.3408851494315815,0.6138718727796428,0.10601174093596813,-1.951563910473908e-20,-1.951563910473908e-20,0,0.0046426545751971126,1.9515639104739078e-19,2,265.3,-0.007725499627050314,1.4984310747708172,0.009265982745443057,-1.951563910473908e-20,-4.25721897227717e-06,-0.0022781478375223495,4.0425030379455025e-09
0.115,2/3 raise_arm_pose,0.4055330162049377,-0.3409795947172305,0.6138825375522673,0.10578680181419639,-1.951563910473908e-20,-1.951563910473908e-20,0,0.005061742324710149,1.9515639104739078e-19,2,253.1,-0.008412889710208118,1.4982916509064383,0.010089473444731475,-1.951563910473908e-20,-4.605335363574986e-06,-0.002480604559156753,4.893820533553658e-09
0.12,2/3 raise_arm_pose,0.4059524591567839,-0.34107784578293,0.6138939462915282,0.10555279033362294,-1.951563910473908e-20,-1.951563910473908e-20,0,0.005491547990173147,1.9515639104739078e-19,2,263.3,-0.009128149844913041,1.4981466063705209,0.010946176504959666,-1.951563910473908e-20,-4.961888989813465e-06,-0.0026912251419311303,5.863950342843581e-09
0.125,2/3 raise_arm_pose,0.4063876980153384,-0.34117976889357354,0.6139061203211803,0.10531002344403692,4.9873299934333206e-20,-1.951563910473908e-20,0,0.005931671084600809,-1.3682631416767066e-17,2,258.4,-0.00987032909862289,1.4979961382768012,0.011834930424672832,4.9873299934333206e-20,-5.325653370174981e-06,-0.002909723837377135,6.960965243425237e-09
0.13,2/3 raise_arm_pose,0.4068381958740116,-0.3412852349517693,0.6139190811768559,0.1050588069520346,4.9873299934333206e-20,4.9873299934333206e-20,0,0.006382530688343488,-4.987329993433321e-19,2,263.2,-0.010638510608134158,1.497840436888972,0.012754614390984456,4.9873299934333206e-20,-5.6954089245703855e-06,-0.0031358248978115536,8.192661522123105e-09
0.135,2/3 raise_arm_pose,0.40730449686112,-0.3413943679842456,0.6139328823986413,0.10479884400979303,4.9873299934333206e-20,4.9873299934333206e-20,0,0.006856914290664648,-4.987329993433321e-19,2,259.1,-0.011433620942493634,1.4976793187642143,0.01370631516740387,4.9873299934333206e-20,-6.0708350262829575e-06,-0.0033697953035162083,9.569083531338907e-09
0.14,2/3 raise_arm_pose,0.407788188897075,-0.3415075360880789,0.6139476129361634,0.104529256652892,4.9873299934333206e-20,4.9873299934333206e-20,0,0.0073684002726516415,-4.987329993433321e-19,2,267.7,-0.012258366397263803,1.497512240081688,0.014693248599824535,4.9873299934333206e-20,-6.452406113688012e-06,-0.003612425446442924,1.1103409747491655e-08
0.145,2/3 raise_arm_pose,0.40828868282722536,-0.3416245972329212,0.613963299574675,0.1042503810491752,4.9873299934333206e-20,4.9873299934333206e-20,0,0.007892426193810552,-4.987329993433321e-19,2,266.8,-0.013111741077775891,1.4973394101212054,0.015714182762541586,4.9873299934333206e-20,-6.8386898263431e-06,-0.0038634122188283726,1.280402057463409e-08
0.15,2/3 raise_arm_pose,0.40880541056688585,-0.34174541429793887,0.6139799692229427,0.10396254156165533,4.9873299934333206e-20,4.9873299934333206e-20,0,0.008427042478690206,-4.987329993433321e-19,2,264.5,-0.013992775190517684,1.497161030910333,0.016767928891066545,4.9873299934333206e-20,-7.228260110273221e-06,-0.004122463121220692,1.4678803462406849e-08
0.155,2/3 raise_arm_pose,0.40933782432955207,-0.3418698548977824,0.613997648813261,0.10366605116651997,4.9873299934333206e-20,4.9873299934333206e-20,0,0.008971334097227002,-4.987329993433321e-19,2,265.3,-0.014900533734454147,1.4969772974819502,0.017853339870518996,4.9873299934333206e-20,-7.619697959683594e-06,-0.0043892958912151135,1.6735086632932156e-08
0.16,2/3 raise_arm_pose,0.4098853958839284,-0.3419977912147132,0.6140163652128016,0.10336121185675881,4.9873299934333206e-20,4.9873299934333206e-20,0,0.009525073624430632,-4.987329993433321e-19,2,258.8,-0.015834115240202572,1.4967883981226902,0.018969308776979516,4.9873299934333206e-20,-8.011592078465747e-06,-0.004663638145182654,1.8979575901579462e-08
0.165,2/3 raise_arm_pose,0.4104476158386767,-0.34212909983667694,0.6140361451452949,0.10304831503186315,4.9873299934333206e-20,4.9873299934333206e-20,0,0.010088480366033678,-4.987329993433321e-19,2,271.0,-0.016792650555298053,1.4965945146125736,0.020114767469949633,4.9873299934333206e-20,-8.402539472265683e-06,-0.004945227032537175,2.1418294516668182e-08
0.17,2/3 raise_arm_pose,0.4110260343773453,-0.34226413870306327,0.6140570901512982,0.10272650630650679,4.9873299934333206e-20,4.9873299934333206e-20,0,0.010689248765002178,-4.987329993433321e-19,2,274.3,-0.01777878200615406,1.496395117956162,0.02129284714317154,4.9873299934333206e-20,-8.792658968924354e-06,-0.005234832051124511,2.4064034199164095e-08
0.17500000000000002,2/3 raise_arm_pose,0.41162112948842705,-0.3424030145776769,0.6140792690207482,0.10239552891013362,1.8865117801247777e-19,4.9873299934333206e-20,0,0.01131509548337923,-2.825430861497225e-17,2,276.1,-0.01879332393933239,1.496190049979236,0.022504489242068406,1.8865117801247777e-19,-9.18113530550876e-06,-0.00553268434313185,2.6926373499381157e-08
0.18,2/3 raise_arm_pose,0.4122323424826834,-0.3425455917491141,0.6141027137125239,0.1020557029987604,1.8865117801247777e-19,1.8865117801247777e-19,0,0.011951428365936287,-1.8865117801247776e-18,2,268.8,-0.019835323483004746,1.4959795105302487,0.023748520774262944,1.8865117801247777e-19,-9.566333339542678e-06,-0.005838495231743462,3.001062914583826e-08
0.185,2/3 raise_arm_pose,0.41285913459054685,-0.34269173916394036,0.6141274559581242,0.101707337523441,1.8865117801247777e-19,1.8865117801247777e-19,0,0.012597143571812982,-1.8865117801247776e-18,2,273.3,-0.020903861974439292,1.4957636925778386,0.025023809851775623,1.8865117801247777e-19,-9.946625470344272e-06,-0.006151986143410748,3.332113196248676e-08
0.19,2/3 raise_arm_pose,0.4135009862317634,-0.34284133026121794,0.6141535271878208,0.10135073062927272,3.2742905609062234e-19,1.8865117801247777e-19,0,0.01325169719322553,-2.964208739575369e-17,2,269.2,-0.021998053718159945,1.4955427824558016,0.026329264251507167,3.2742905609062234e-19,-1.0320392248982225e-05,-0.0064728882542642386,3.6861158215587844e-08
0.195,2/3 raise_arm_pose,0.4141573963123777,-0.34299424281292984,0.6141809584662596,0.1009861700405397,3.2742905609062234e-19,3.2742905609062234e-19,0,0.013914937995454566,-3.2742905609062233e-18,2,274.0,-0.023117044789609957,1.4953169600993332,0.027663830026137516,3.2742905609062234e-19,-1.068602290968546e-05,-0.006800942148899999,4.0632864301314634e-08
0.2,2/3 raise_arm_pose,0.4148278815480171,-0.34315035877009215,0.6142097804366499,0.10061393343244221,3.2742905609062234e-19,3.2742905609062234e-19,0,0.01458698453913139,-3.2742905609062233e-18,2,278.6,-0.024260011882637777,1.4950863992728438,0.029026490163693196,3.2742905609062234e-19,-1.1041915849174343e-05,-0.007135897491107349,4.4637224661741376e-08
0.20500000000000002,2/3 raise_arm_pose,0.41551491008838065,-0.34331024825119183,0.614240154924078,0.10023266074263079,1.8865117801247777e-19,3.2742905609062234e-19,0,0.01531141275089104,2.448128505472269e-17,2,270.9,-0.025431163100004484,1.4948502573385059,0.03042223430303661,1.8865117801247777e-19,-1.1388293484199894e-05,-0.00747898050545951,4.888836623910629e-08
0.21,2/3 raise_arm_pose,0.4162179328829998,-0.34347377699572457,0.6142721181331626,0.09984266774358941,1.8865117801247777e-19,1.8865117801247777e-19,0,0.016046193709554592,-1.8865117801247776e-18,2,274.0,-0.026629563360047775,1.4946087318959904,0.03184990669802019,1.8865117801247777e-19,-1.1723294660342293e-05,-0.007829906696157251,5.3386220077438e-08
0.215,2/3 raise_arm_pose,0.41693642039852613,-0.34364081531672747,0.6143057058292665,0.09944425920708322,1.8865117801247777e-19,1.8865117801247777e-19,0,0.01679017704857783,-1.8865117801247776e-18,2,268.3,-0.027854311163153872,1.4943620137905747,0.03330839211097135,1.8865117801247777e-19,-1.2045065965862927e-05,-0.008188401524355975,5.812921165019876e-08
0.22,2/3 raise_arm_pose,0.4176698619022451,-0.34381123793805746,0.6143409532778353,0.09903772929760019,1.8865117801247777e-19,1.8865117801247777e-19,0,0.01754266773340343,-1.8865117801247776e-18,2,270.0,-0.029104537370927695,1.4941102873541443,0.03479661439406349,1.8865117801247777e-19,-1.2351762298185213e-05,-0.008554200059699342,6.311418693846044e-08
0.225,2/3 raise_arm_pose,0.4184177647724826,-0.3439849238374964,0.61437789519234,0.09862336195204807,1.8865117801247777e-19,1.8865117801247777e-19,0,0.01830330643350158,-1.8865117801247776e-18,2,289.7,-0.030379404030188056,1.4938537306375639,0.036313535120377695,1.8865117801247777e-19,-1.2641547369734323e-05,-0.00892704664404797,6.833634212628846e-08
0.23,2/3 raise_arm_pose,0.41917965383487066,-0.344161756095479,0.6144165656900323,0.0981768020324551,1.8865117801247777e-19,1.8865117801247777e-19,0,0.019071978137319708,-1.8865117801247776e-18,2,279.2,-0.03167810324012671,1.4935925156347163,0.037858152262907965,1.8865117801247777e-19,-1.2912594153673018e-05,-0.009306694566976439,7.378915680592408e-08
0.23500000000000001,2/3 raise_arm_pose,0.41995600889948115,-0.3443418399650635,0.6144570478846084,0.09766116792866086,4.98732999343332e-20,1.8865117801247777e-19,0,0.019863511990516856,2.5869063835504135e-17,2,287.0,-0.03300145523847015,1.493326486115504,0.03943140464071101,4.98732999343332e-20,-1.3163547462303338e-05,-0.009693374188556855,7.946976393181021e-08
0.24,2/3 raise_arm_pose,0.4207482325123928,-0.3445254948324318,0.6144994788382053,0.09713506387273713,-8.890457814381137e-20,4.98732999343332e-20,0,0.020693338913185363,2.7256842616285582e-17,2,249.4,-0.034351853418356774,1.493055169427022,0.04103610297081055,-8.890457814381137e-20,-1.3393382431916798e-05,-0.01008777595930896,8.537948171140856e-08
0.245,2/3 raise_arm_pose,0.42155580427033906,-0.3447125923312193,0.6145438976501081,0.09659883968335192,-8.890457814381137e-20,-8.890457814381137e-20,0,0.021532231746267828,8.890457814381138e-19,2,246.4,-0.03572841373005398,1.4927787543529247,0.04267114948197876,-8.890457814381137e-20,-1.3600000537257366e-05,-0.010489629571222915,9.150723356816163e-08
0.25,2/3 raise_arm_pose,0.42237822217147797,-0.344903008420802,0.6145903427560564,0.0960528328719879,-8.890457814381137e-20,-8.890457814381137e-20,0,0.022379430087353897,8.890457814381138e-19,2,242.4,-0.03713028385723533,1.492497423290383,0.04433548489008104,-8.890457814381137e-20,-1.3781311577072806e-05,-0.010898674176731325,9.783973872381514e-08
0.255,2/3 raise_arm_pose,0.4232150019398983,-0.34509662323230345,0.6146388518869533,0.09549736909236978,-8.890457814381137e-20,-8.890457814381137e-20,0,0.02323445882889985,8.890457814381138e-19,2,235.0,-0.03855664206248365,1.4922113524782523,0.046028087050229635,-8.890457814381137e-20,-1.3935234144027656e-05,-0.011314658057619872,1.043614370259871e-07
0.26,2/3 raise_arm_pose,0.4240656763755008,-0.34529332092014803,0.6146894620346617,0.0949327625734207,-8.890457814381137e-20,-8.890457814381137e-20,0,0.02409705890410636,8.890457814381138e-19,2,233.2,-0.04000669607523975,1.4919207122170233,0.04774796965617098,-8.890457814381137e-20,-1.4059696074849047e-05,-0.011737338305524841,1.1105441752082583e-07
