time_s,phase,A7_x,A7_y,A7_z,min_obstacle_h,min_joint_limit_h,min_all_h,active_obstacle_cbfs,joint_tracking_error,qp_max_violation,qp_iterations,qp_time_us,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint
0.05,2/3 raise_arm_pose,0.4016175762582258,-0.3400611397719394,0.6137912599800637,0.10797082883562817,-0.0008672205695571871,-0.0007120357429250117,0,7.213721638196091e-05,0.0381573227556852,0,14.6,-0.0017344411391143743,1.5,0.0020813293669372495,-0.0008672205695571871,0.0,0.0,0.0
0.055,2/3 raise_arm_pose,0.4018169081140812,-0.340107920424944,0.6137952246561873,0.10785881592414207,-0.0010370611312998247,-0.0008672205695571871,0,0.00013294353978027696,0.04264031804409936,0,13.7,-0.0020741222625996493,1.5,0.0024889467151195796,-0.0010370611312998247,0.0,0.0,0.0
0.06,2/3 raise_arm_pose,0.4020328789286251,-0.34015859573317697,0.6137996050612855,0.10773748008144027,-0.001221044477424058,-0.0010370611312998247,0,0.00024014164528159026,0.04716728053784491,0,15.6,-0.002442088954848116,1.5,0.0029305067458177394,-0.001221044477424058,0.0,0.0,0.0
0.065,2/3 raise_arm_pose,0.4022649171118431,-0.3402130291307344,0.6138044096098427,0.10760714884378794,-0.0014186756104765314,-0.001221044477424058,0,0.00039210782051229547,0.05173667138473525,0,14.0,-0.002837351220953063,1.5,0.0034048214651436755,-0.0014186756104765314,0.0,0.0,0.0
0.07,2/3 raise_arm_pose,0.402514763700124,-0.3402716263040703,0.6138096966898374,0.10746685145640619,-0.0016314284186212634,-0.0014186756104765314,0,0.000381465482202022,0.05673731773371173,0,14.2,-0.003262856837242527,1.5,0.003915428204691033,-0.0016314284186212634,0.0,0.0,0.0
0.075,2/3 raise_arm_pose,0.40278295548489745,-0.340334509998289,0.6138155032828139,0.10731629469068957,-0.0018597497163466612,-0.0016314284186212634,0,0.00031575410392991596,0.06197854373129217,0,16.8,-0.0037194994326933224,1.5,0.004463399319231987,-0.0018597497163466612,0.0,0.0,0.0
0.08,2/3 raise_arm_pose,0.4030688652886304,-0.3404015297796954,0.6138218432008873,0.10715583938836157,-0.002103094606517401,-0.0018597497163466612,0,0.00029932377303314124,0.06726647519761461,0,18.1,-0.004206189213034802,1.5,0.005047427055641763,-0.002103094606517401,0.0,0.0,0.0
0.085,2/3 raise_arm_pose,0.40337188851962685,-0.3404725404367782,0.6138287312394994,0.1069858338631994,-0.0023609372633978964,-0.002103094606517401,0,0.00033044965285356393,0.07259947744127308,0,15.9,-0.004721874526795793,1.5,0.0056662494321549515,-0.0023609372633978964,0.0,0.0,0.0
0.09,2/3 raise_arm_pose,0.403691442316743,-0.340547401795565,0.6138361830188144,0.10680661433565211,-0.0026327702651533056,-0.0023609372633978964,0,0.00040746727601608375,0.07797597298506079,0,15.6,-0.005265540530306611,1.5,0.006318648636367934,-0.0026327702651533056,0.0,0.0,0.0
0.095,2/3 raise_arm_pose,0.40402696472887945,-0.34062597854148685,0.6138442148403719,0.10661850535265685,-0.0029181039497130066,-0.0026327702651533056,0,0.0005287704315037238,0.08339443956347328,0,18.4,-0.005836207899426013,1.5,0.007003449479311217,-0.0029181039497130066,0.0,0.0,0.0
0.1,2/3 raise_arm_pose,0.40437791392770955,-0.3407081400475456,0.6138528435577295,0.10642182019312321,-0.0032164657931788494,-0.0029181039497130066,0,0.0006928091256851071,0.08885340819029863,0,16.5,-0.006432931586357699,1.5,0.0077195179036292395,-0.0032164657931788494,0.0,0.0,0.0
0.105,2/3 raise_arm_pose,0.4047470815490105,-0.340794535658645,0.6138621713427759,0.10621500500115391,-0.003530215956233777,-0.0032164657931788494,0,0.0005992602071201798,0.09491469054277402,0,15.9,-0.007060431912467554,1.5,0.008472518294961066,-0.003530215956233777,0.0,0.0,0.0
0.11,2/3 raise_arm_pose,0.4051338511113191,-0.34088501638637303,0.613872220051151,0.10599841705853127,-0.0038588158476921715,-0.003530215956233777,0,0.0005544220194689463,0.10102213785401667,0,16.6,-0.007717631695384343,1.5,0.009261158034461214,-0.0038588158476921715,0.0,0.0,0.0
0.115,2/3 raise_arm_pose,0.4055376282353803,-0.3409794383872742,0.6138830121275805,0.10577240126206541,-0.004201745727059911,-0.0038588158476921715,0,0.0005565896871494268,0.10717413435046974,0,16.2,-0.008403491454119822,1.5,0.01008418974494379,-0.004201745727059911,0.0,0.0,0.0
