time_s,phase,phase_progress,A1_joint,A2_joint,A3_joint,A4_joint,A5_joint,A6_joint,A7_joint,rh_thumb_cmc_roll,rh_thumb_cmc_yaw,rh_thumb_cmc_pitch,rh_thumb_mcp,rh_thumb_ip,rh_index_mcp_roll,rh_index_mcp_pitch,rh_index_pip,rh_index_dip,rh_middle_mcp_pitch,rh_middle_pip,rh_middle_dip,rh_ring_mcp_roll,rh_ring_mcp_pitch,rh_ring_pip,rh_ring_dip,rh_pinky_mcp_roll,rh_pinky_mcp_pitch,rh_pinky_pip,rh_pinky_dip,A7_x,A7_y,A7_z,thumb_tip_x,thumb_tip_y,thumb_tip_z,middle_tip_x,middle_tip_y,middle_tip_z
0.0,1/3 vertical_arm_open_hand,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40060033,-0.33982226339792954,0.6137721970807081,0.4459070633817824,-0.4485331627424272,0.47248592359432856,0.391520542,-0.3649623882989921,0.35080379980793885
0.033333,2/3 raise_arm_pose,0.015152,-0.0006817486156329133,1.5,0.0008180983387594959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40099998965358585,-0.33982177349928966,0.6137727078474319,0.4464835580051561,-0.4484956674726863,0.47251478566126764,0.3921047823648854,-0.36496930578981707,0.3507987104610688
0.066667,2/3 raise_arm_pose,0.030303,-0.0026991679884241873,1.5,0.0032390015861090246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4021826504659633,-0.33982032380236943,0.613775815398558,0.44818922397782546,-0.44838432732625955,0.47260278987934684,0.3938337066208043,-0.36498975054626964,0.3507860028802234
0.1,2/3 raise_arm_pose,0.045455,-0.006010518407212622,1.4999999999999998,0.007212622088655147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40412381723933594,-0.33981794432829077,0.6137860880775579,0.4509879155912221,-0.44820033053491437,0.4727556465143676,0.3966716726068205,-0.3650232256801285,0.35077276954268655
0.133333,2/3 raise_arm_pose,0.060606,-0.010574060160837022,1.5,0.012688872193004427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40679894647865533,-0.33981466517234776,0.6138107785607047,0.4548429223390183,-0.4479442234840922,0.4729834168566615,0.40058306303590696,-0.36506919066158544,0.35077006283457496
0.166667,2/3 raise_arm_pose,0.075758,-0.016348053538136186,1.5000000000000002,0.019617664245763423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4101834047196996,-0.33981051657885664,0.6138595116137008,0.45971693636866995,-0.44761599175659816,0.4732999884010518,0.4055322114091338,-0.3651270652165694,0.3507924381129736
0.2,2/3 raise_arm_pose,0.090909,-0.023290758827948913,1.5,0.027948910593538694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41425241668450624,-0.3398055290339271,0.61394398132851,0.46557199755399264,-0.4472151403199859,0.4737225606238137,0.4114833128837014,-0.3651962328244679,0.35085751147584665
0.233333,2/3 raise_arm_pose,0.106061,-0.03136043631911401,1.5,0.03763252358293681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4189810068528554,-0.3397997333698179,0.6140776575078699,0.472369423998895,-0.44674077249489014,0.4742711416826922,0.41840032543396727,-0.36527604391377294,0.350985531429318
0.266667,2/3 raise_arm_pose,0.121212,-0.040515346300470274,1.5,0.04861841556056433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42434393770118356,-0.3397931608751275,0.6142755008731319,0.48006973509896556,-0.4461916673831451,0.4749680562804966,0.42624686614101365,-0.36536581884464636,0.3511989636789118
0.3,2/3 raise_arm_pose,0.136364,-0.050713749060856496,1.5,0.06085649887302779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43031564753616447,-0.33978584340563345,0.6145536868142716,0.48863257360709494,-0.4455663554619949,0.47583746496398827,0.434986106969073,-0.3654648507584193,0.3515220883618499
